,base asset,compare asset,label
52,AGNG,PHO,1
53,AGNG,PPI,1
54,AGNG,PTF,1
55,AGNG,QCLR,1
56,AGNG,RDVY,1
57,AGNG,SHRY,1
58,AGNG,TDIV,1
59,AGNG,UEVM,1
60,AGNG,USXF,1
61,AGNG,VONV,1
62,AGNG,VSDA,1
63,AGNG,VSMV,1
64,AIQ,AIRR,1
44,AGNG,HERD,1
204,BUG,EBIZ,1
205,BUG,KBWP,1
206,CATH,DWUS,1
320,COMT,FSZ,1
321,COMT,GRID,1
322,COMT,HERD,1
323,COMT,HLAL,1
324,COMT,IUSV,1
325,COMT,IVAL,1
326,COMT,NFTY,1
327,COMT,OPPJ,1
319,COMT,FLN,1
328,COMT,PHO,1
330,COMT,PSET,1
331,COMT,PSL,1
332,COMT,PTNQ,1
333,COMT,QQEW,1
334,COMT,QQQE,1
335,COMT,QQXT,1
336,COMT,RNEM,1
337,COMT,SDVY,1
329,COMT,PSCI,1
318,COMT,FJP,1
317,COMT,FEMS,1
316,COMT,EWJV,1
297,CIBR,IPKW,1
298,CIBR,ISHP,1
299,CIBR,KBWP,1
300,CIBR,LEGR,1
301,CIBR,MILN,1
302,CIBR,PIZ,1
303,CIBR,PNQI,1
304,CIBR,RFDI,1
305,CIBR,RTH,1
306,CIL,FICS,1
307,CIL,KBWP,1
308,CIL,PID,1
309,CIL,VYMI,1
310,COMT,DAX,1
311,COMT,DGRW,1
312,COMT,DMXF,1
313,COMT,DWSH,1
314,COMT,ESGD,1
315,COMT,EUFN,1
338,COMT,SOXX,1
296,CIBR,EBIZ,1
339,COMT,VSDA,1
346,DAX,EUFN,1
370,DEMZ,PKW,1
371,DEMZ,PPI,1
372,DEMZ,PSC,1
373,DEMZ,QCLR,1
374,DEMZ,QVAL,1
375,DEMZ,RDVY,1
376,DEMZ,SHRY,1
377,DEMZ,SPBC,1
369,DEMZ,PDP,1
378,DEMZ,TDIV,1
380,DEMZ,USXF,1
381,DEMZ,VSMV,1
382,DGRW,DWAW,1
383,DGRW,DWUS,1
384,DGRW,ESGU,1
385,DGRW,FAD,1
386,DGRW,FNX,1
387,DGRW,FNY,1
379,DEMZ,USVM,1
368,DEMZ,KBWP,1
367,DEMZ,JSMD,1
366,DEMZ,IUSV,1
347,DAX,PIZ,1
348,DDIV,DVOL,1
349,DDIV,EBIZ,1
350,DDIV,MILN,1
351,DDIV,PEY,1
352,DDIV,PFI,1
353,DDIV,SIXG,1
354,DEMZ,DGRW,1
355,DEMZ,DWUS,1
356,DEMZ,ESMV,1
357,DEMZ,FNX,1
358,DEMZ,FNY,1
359,DEMZ,FSCS,1
360,DEMZ,FTA,1
361,DEMZ,FTCS,1
362,DEMZ,FTHI,1
363,DEMZ,FTQI,1
364,DEMZ,HERD,1
365,DEMZ,IUS,1
340,COMT,VYMI,1
746,ESMV,PSC,1
295,CFA,XOVR,1
293,CFA,VSMV,1
230,CATH,XOVR,1
231,CATH,YLDE,1
232,CDL,DDIV,1
233,CDL,DVOL,1
234,CDL,DWAW,1
235,CDL,EBIZ,1
236,CDL,FAD,1
237,CDL,FTC,1
229,CATH,VSMV,1
238,CDL,ISHP,1
240,CDL,PFI,1
241,CDL,PIZ,1
242,CDL,PTF,1
243,CDL,QMOM,1
244,CDL,SIXG,1
245,CEFA,EWJV,1
246,CEFA,FJP,1
247,CEFA,KBWP,1
239,CDL,MILN,1
228,CATH,VOTE,1
227,CATH,VONG,1
226,CATH,VONE,1
207,CATH,EBIZ,1
208,CATH,ESMV,1
209,CATH,FAD,1
210,CATH,FNY,1
211,CATH,FSCS,1
212,CATH,FTHI,1
213,CATH,FTQI,1
214,CATH,IUS,1
215,CATH,JSMD,1
216,CATH,KBWP,1
217,CATH,NZAC,1
218,CATH,PNQI,1
219,CATH,PSC,1
220,CATH,QCLR,1
221,CATH,RDVY,1
222,CATH,SPBC,1
223,CATH,TDIV,1
224,CATH,UEVM,1
225,CATH,USMC,1
248,CEFA,OPPJ,1
294,CFA,VTHR,1
249,CEFA,PID,1
251,CEFA,VIGI,1
275,CFA,PRN,1
276,CFA,PSC,1
277,CFA,PTF,1
278,CFA,QCLR,1
279,CFA,RDVY,1
280,CFA,RTH,1
281,CFA,SHRY,1
282,CFA,SIXG,1
274,CFA,PNQI,1
283,CFA,SPBC,1
285,CFA,USMC,1
286,CFA,USVM,1
287,CFA,USXF,1
288,CFA,VONE,1
289,CFA,VONG,1
290,CFA,VONV,1
291,CFA,VOTE,1
292,CFA,VSDA,1
284,CFA,TDIV,1
273,CFA,PFM,1
272,CFA,PDP,1
271,CFA,MILN,1
252,CFA,DWAW,1
253,CFA,DWUS,1
254,CFA,EBIZ,1
255,CFA,ESGU,1
256,CFA,ESMV,1
257,CFA,FAD,1
258,CFA,FEX,1
259,CFA,FSCS,1
260,CFA,FTA,1
261,CFA,FTC,1
262,CFA,FTCS,1
263,CFA,FTHI,1
264,CFA,FTQI,1
265,CFA,GFGF,1
266,CFA,IUS,1
267,CFA,IUSG,1
268,CFA,KBWP,1
269,CFA,LEXI,1
270,CFA,MDIV,1
250,CEFA,RNEM,1
747,ESMV,PTF,1
738,ESMV,MDIV,1
749,ESMV,QCLR,1
1209,FTA,VSDA,1
1210,FTA,VTHR,1
1211,FTA,XOVR,1
1212,FTC,FTCS,1
1213,FTC,FTHI,1
1214,FTC,IMCV,1
1215,FTC,KBWP,1
1216,FTC,MILN,1
1217,FTC,PKW,1
1218,FTC,PSC,1
1219,FTC,PSL,1
1220,FTC,QCLR,1
1221,FTC,RDVY,1
1222,FTC,RTH,1
1223,FTC,SPBC,1
1224,FTC,ULVM,1
1225,FTC,USMC,1
1208,FTA,VOTE,1
1207,FTA,VONG,1
1206,FTA,VONE,1
1205,FTA,USXF,1
1187,FTA,QMOM,1
1188,FTA,QQMG,1
1189,FTA,QQQ,1
1190,FTA,QQQM,1
1191,FTA,QTR,1
1192,FTA,QYLD,1
1193,FTA,QYLG,1
1194,FTA,RDVY,1
1226,FTC,VONV,1
1195,FTA,RFEM,1
1197,FTA,SIXG,1
1198,FTA,SKYY,1
1199,FTA,SPBC,1
1200,FTA,SUSL,1
1201,FTA,TDIV,1
1202,FTA,UEVM,1
1203,FTA,USMC,1
1204,FTA,USVM,1
1196,FTA,SHRY,1
1227,FTC,VSDA,1
1228,FTC,VSMV,1
1229,FTCS,FTHI,1
1252,FTCS,SHRY,1
1253,FTCS,SPBC,1
1254,FTCS,SUSL,1
1255,FTCS,TDIV,1
1256,FTCS,UEVM,1
1257,FTCS,ULVM,1
1258,FTCS,USMC,1
1259,FTCS,USVM,1
1251,FTCS,RFEM,1
1260,FTCS,USXF,1
1262,FTCS,VONG,1
1263,FTCS,VONV,1
1264,FTCS,VOTE,1
1265,FTCS,VSDA,1
1266,FTCS,VSMV,1
1267,FTCS,VTHR,1
1268,FTCS,XOVR,1
1269,FTGC,FTHI,1
1261,FTCS,VONE,1
1186,FTA,QCLR,1
1250,FTCS,RDVY,1
1248,FTCS,QMOM,1
1230,FTCS,FV,1
1231,FTCS,GFGF,1
1232,FTCS,IMCV,1
1233,FTCS,IUS,1
1234,FTCS,IUSG,1
1235,FTCS,IUSV,1
1236,FTCS,JSMD,1
1237,FTCS,KBWP,1
1249,FTCS,QVAL,1
1238,FTCS,LEXI,1
1240,FTCS,PDP,1
1241,FTCS,PFM,1
1242,FTCS,PKW,1
1243,FTCS,PPI,1
1244,FTCS,PRN,1
1245,FTCS,PSC,1
1246,FTCS,PY,1
1247,FTCS,QCLR,1
1239,FTCS,OPPJ,1
1185,FTA,PTF,1
1184,FTA,PSET,1
1183,FTA,PSC,1
1121,FSCS,GFGF,1
1122,FSCS,IUSG,1
1123,FSCS,JSMD,1
1124,FSCS,KBWP,1
1125,FSCS,KRMA,1
1126,FSCS,LEXI,1
1127,FSCS,MILN,1
1128,FSCS,NZAC,1
1120,FSCS,FTHI,1
1129,FSCS,ONEQ,1
1131,FSCS,PFM,1
1132,FSCS,PKW,1
1133,FSCS,PNQI,1
1134,FSCS,PRN,1
1135,FSCS,PSC,1
1136,FSCS,PTF,1
1137,FSCS,QCLR,1
1138,FSCS,RDVY,1
1130,FSCS,PDP,1
1139,FSCS,RTH,1
1119,FSCS,FTCS,1
1117,FPA,PIZ,1
1099,FNY,SPBC,1
1100,FNY,SUSL,1
1101,FNY,TDIV,1
1102,FNY,UEVM,1
1103,FNY,ULVM,1
1104,FNY,USMC,1
1105,FNY,USVM,1
1106,FNY,USXF,1
1118,FSCS,FTC,1
1107,FNY,VONE,1
1109,FNY,VOTE,1
1110,FNY,VSDA,1
1111,FNY,VSMV,1
1112,FNY,VTHR,1
1113,FNY,XOVR,1
1114,FPA,IGF,1
748,ESMV,PY,1
1116,FPA,KBWP,1
1108,FNY,VONG,1
1270,FTGC,FTQI,1
1140,FSCS,SHRY,1
1142,FSCS,SKYY,1
1165,FTA,GFGF,1
1166,FTA,IUSG,1
1167,FTA,JSMD,1
1168,FTA,KBWP,1
1169,FTA,KNGZ,1
1170,FTA,KRMA,1
1171,FTA,LEXI,1
1172,FTA,MILN,1
1164,FTA,FV,1
1173,FTA,NXTG,1
1175,FTA,ONEQ,1
1176,FTA,PDP,1
1177,FTA,PFM,1
1178,FTA,PHO,1
1179,FTA,PIZ,1
1180,FTA,PNQI,1
1181,FTA,PPH,1
1182,FTA,PRN,1
1174,FTA,NZAC,1
1141,FSCS,SIXG,1
1163,FTA,FTCS,1
1161,FSZ,VYMI,1
1143,FSCS,SPBC,1
1144,FSCS,SUSL,1
1145,FSCS,TDIV,1
1146,FSCS,UEVM,1
1147,FSCS,ULVM,1
1148,FSCS,USMC,1
1149,FSCS,USXF,1
1150,FSCS,VONE,1
1162,FTA,FTC,1
1151,FSCS,VONG,1
1153,FSCS,VOTE,1
1154,FSCS,VSDA,1
1155,FSCS,VSMV,1
1156,FSCS,VTHR,1
1157,FSCS,XOVR,1
1158,FSCS,YLDE,1
1159,FSZ,PID,1
1160,FSZ,RNEM,1
1152,FSCS,VONV,1
1098,FNY,SIXG,1
1271,FTGC,FTRI,1
1273,FTGC,FV,1
1384,FTHI,PIZ,1
1385,FTHI,PKW,1
1386,FTHI,PNQI,1
1387,FTHI,PRN,1
1388,FTHI,PSET,1
1389,FTHI,PTF,1
1390,FTHI,QCLR,1
1391,FTHI,QQEW,1
1392,FTHI,QQMG,1
1393,FTHI,QQQ,1
1394,FTHI,QQQE,1
1395,FTHI,QQQM,1
1396,FTHI,QQXT,1
1397,FTHI,QTEC,1
1398,FTHI,QTR,1
1399,FTHI,QYLD,1
1400,FTHI,QYLG,1
1383,FTHI,PHO,1
1382,FTHI,PFM,1
1381,FTHI,PFI,1
1380,FTHI,PDP,1
1362,FTGC,VXUS,1
1363,FTGC,VYMI,1
1364,FTGC,WCBR,1
1365,FTGC,XOVR,1
1366,FTGC,YLDE,1
1367,FTHI,GFGF,1
1368,FTHI,HERD,1
1369,FTHI,HLAL,1
1401,FTHI,RDVY,1
1370,FTHI,ISHP,1
1372,FTHI,IUSG,1
1373,FTHI,JSMD,1
1374,FTHI,KRMA,1
1375,FTHI,LEXI,1
1376,FTHI,MILN,1
1377,FTHI,NXTG,1
1378,FTHI,NZAC,1
1379,FTHI,ONEQ,1
1371,FTHI,IUS,1
1402,FTHI,RFDI,1
1403,FTHI,RTH,1
1404,FTHI,SDVY,1
1427,FTQI,IUSG,1
1428,FTQI,JSMD,1
1429,FTQI,KRMA,1
1430,FTQI,MILN,1
1431,FTQI,NXTG,1
1432,FTQI,NZAC,1
1433,FTQI,ONEQ,1
1434,FTQI,PDP,1
1426,FTQI,ISHP,1
1435,FTQI,PFI,1
1437,FTQI,PRN,1
1438,FTQI,PSC,1
1439,FTQI,PSET,1
1440,FTQI,PTF,1
1441,FTQI,QCLR,1
1442,FTQI,QQMG,1
1443,FTQI,QQQ,1
1444,FTQI,QQQM,1
1436,FTQI,PNQI,1
1361,FTGC,VTHR,1
1425,FTQI,HLAL,1
1423,FTQI,GFGF,1
1405,FTHI,SHRY,1
1406,FTHI,SKYY,1
1407,FTHI,SPBC,1
1408,FTHI,SUSL,1
1409,FTHI,TDIV,1
1410,FTHI,UEVM,1
1411,FTHI,USMC,1
1412,FTHI,USVM,1
1424,FTQI,HERD,1
1413,FTHI,USXF,1
1415,FTHI,VONE,1
1416,FTHI,VONG,1
1417,FTHI,VOTE,1
1418,FTHI,VSDA,1
1419,FTHI,VSMV,1
1420,FTHI,VTHR,1
1421,FTHI,XOVR,1
1422,FTHI,YLDE,1
1414,FTHI,VIGI,1
1360,FTGC,VSMV,1
1359,FTGC,VSDA,1
1358,FTGC,VOTE,1
1296,FTGC,NFTY,1
1297,FTGC,NXTG,1
1298,FTGC,NZAC,1
1299,FTGC,ONEQ,1
1300,FTGC,OPPJ,1
1301,FTGC,PDP,1
1302,FTGC,PEY,1
1303,FTGC,PFI,1
1295,FTGC,MILN,1
1304,FTGC,PFM,1
1306,FTGC,PID,1
1307,FTGC,PIZ,1
1308,FTGC,PKW,1
1309,FTGC,PNQI,1
1310,FTGC,PPH,1
1311,FTGC,PRN,1
1312,FTGC,PSC,1
1313,FTGC,PSCI,1
1305,FTGC,PHO,1
1314,FTGC,PSET,1
1294,FTGC,MDIV,1
1292,FTGC,LEXI,1
1274,FTGC,GFGF,1
1275,FTGC,GRID,1
1276,FTGC,HERD,1
1277,FTGC,HLAL,1
1278,FTGC,IGF,1
1279,FTGC,IMCV,1
1280,FTGC,INDY,1
1281,FTGC,IPKW,1
1293,FTGC,LVHD,1
1282,FTGC,ISHP,1
1284,FTGC,IUSV,1
1285,FTGC,IVAL,1
1286,FTGC,IXUS,1
1287,FTGC,JSMD,1
1288,FTGC,KBWP,1
1289,FTGC,KNGZ,1
1290,FTGC,KRMA,1
1291,FTGC,LEGR,1
1283,FTGC,IUSG,1
1272,FTGC,FTXL,1
1315,FTGC,PSL,1
1317,FTGC,PTNQ,1
1340,FTGC,SHRY,1
1341,FTGC,SIXG,1
1342,FTGC,SKYY,1
1343,FTGC,SOXX,1
1344,FTGC,SPBC,1
1345,FTGC,SUSL,1
1346,FTGC,TDIV,1
1347,FTGC,UAE,1
1339,FTGC,SDVY,1
1348,FTGC,UEVM,1
1350,FTGC,ULVM,1
1351,FTGC,USMC,1
1352,FTGC,USVM,1
1353,FTGC,USXF,1
1354,FTGC,VIGI,1
1355,FTGC,VONE,1
1356,FTGC,VONG,1
1357,FTGC,VONV,1
1349,FTGC,UIVM,1
1316,FTGC,PTF,1
1338,FTGC,RTH,1
1336,FTGC,RFEM,1
1318,FTGC,PUI,1
1319,FTGC,PY,1
1320,FTGC,QCLR,1
1321,FTGC,QMOM,1
1322,FTGC,QQEW,1
1323,FTGC,QQMG,1
1324,FTGC,QQQ,1
1325,FTGC,QQQE,1
1337,FTGC,RNEM,1
1326,FTGC,QQQM,1
1328,FTGC,QTEC,1
1329,FTGC,QTR,1
1330,FTGC,QTUM,1
1331,FTGC,QVAL,1
1332,FTGC,QYLD,1
1333,FTGC,QYLG,1
1334,FTGC,RDVY,1
1335,FTGC,RFDI,1
1327,FTGC,QQXT,1
1097,FNY,SDVY,1
1115,FPA,IPKW,1
1095,FNY,RDVY,1
866,FAD,PPI,1
867,FAD,PSL,1
868,FAD,PY,1
869,FAD,QCLR,1
870,FAD,RDVY,1
871,FAD,RTH,1
872,FAD,SIXG,1
873,FAD,SPBC,1
874,FAD,SUSL,1
875,FAD,UEVM,1
876,FAD,ULVM,1
877,FAD,USMC,1
878,FAD,USXF,1
879,FAD,VONE,1
880,FAD,VONG,1
881,FAD,VONV,1
882,FAD,VOTE,1
883,FAD,VSMV,1
884,FAD,VTHR,1
865,FAD,PKW,1
885,FAD,XOVR,1
864,FAD,PFM,1
862,FAD,MDIV,1
843,FAB,USVM,1
844,FAB,USXF,1
845,FAB,VONE,1
846,FAB,VONG,1
847,FAB,VOTE,1
848,FAB,VTHR,1
849,FAB,XOVR,1
850,FAD,FEX,1
851,FAD,FSCS,1
852,FAD,FTA,1
853,FAD,FTHI,1
854,FAD,FTQI,1
855,FAD,GFGF,1
856,FAD,IUS,1
857,FAD,IUSG,1
858,FAD,IUSV,1
859,FAD,KBWP,1
860,FAD,KNGZ,1
861,FAD,LEXI,1
863,FAD,PEY,1
886,FDT,FEP,1
887,FDT,FKU,1
888,FDT,IPKW,1
913,FEMS,PSCI,1
914,FEMS,PSET,1
915,FEMS,QQEW,1
916,FEMS,QQMG,1
917,FEMS,QQQE,1
918,FEMS,QTEC,1
919,FEMS,QVAL,1
920,FEMS,SDVY,1
921,FEMS,SOXX,1
922,FEP,IPKW,1
923,FEP,PID,1
924,FEP,UIVM,1
925,FEP,VYMI,1
1096,FNY,RTH,1
927,FEX,FSCS,1
928,FEX,FTA,1
929,FEX,FTC,1
930,FEX,FTCS,1
931,FEX,FTHI,1
912,FEMS,PRN,1
911,FEMS,PPI,1
910,FEMS,PPH,1
909,FEMS,PHO,1
889,FDT,PID,1
890,FDT,PIZ,1
891,FDT,UIVM,1
892,FDT,VYMI,1
893,FDTS,FEP,1
894,FDTS,FEUZ,1
895,FDTS,FICS,1
896,FDTS,FKU,1
897,FDTS,IPKW,1
842,FAB,UEVM,1
898,FDTS,RFDI,1
900,FEMS,FNK,1
901,FEMS,FTA,1
902,FEMS,FTXL,1
903,FEMS,GRID,1
904,FEMS,HERD,1
905,FEMS,INDY,1
906,FEMS,IUSV,1
907,FEMS,NFTY,1
908,FEMS,OPPJ,1
899,FDTS,UIVM,1
932,FEX,GFGF,1
841,FAB,TDIV,1
839,FAB,SPBC,1
773,EUFN,RFDI,1
774,EWJV,FTCS,1
775,EWJV,HERD,1
776,EWJV,IVAL,1
777,EWJV,IXUS,1
778,EWJV,MILN,1
779,EWJV,NXTG,1
780,EWJV,ONEQ,1
781,EWJV,PIZ,1
782,EWJV,PNQI,1
783,EWJV,QQEW,1
784,EWJV,QQMG,1
785,EWJV,QQQ,1
786,EWJV,QQQE,1
787,EWJV,QQQM,1
788,EWJV,QQXT,1
789,EWJV,QTEC,1
790,EWJV,RFDI,1
791,EWJV,RNEM,1
772,EUFN,PIZ,1
792,EWJV,UEVM,1
771,EUFN,FGM,1
769,EUFN,FEP,1
750,ESMV,RDVY,1
751,ESMV,SHRY,1
752,ESMV,SPBC,1
753,ESMV,SUSL,1
754,ESMV,TDIV,1
755,ESMV,UEVM,1
756,ESMV,USMC,1
757,ESMV,USVM,1
758,ESMV,USXF,1
759,ESMV,VONE,1
760,ESMV,VONG,1
761,ESMV,VONV,1
762,ESMV,VOTE,1
763,ESMV,VSDA,1
764,ESMV,VSMV,1
765,ESMV,VTHR,1
766,ESMV,XOVR,1
767,ESPO,PIZ,1
768,ESPO,QTUM,1
770,EUFN,FEUZ,1
793,EWJV,VIGI,1
794,EWJV,VONG,1
795,EWJV,VXUS,1
820,FAB,PRN,1
821,FAB,PSC,1
822,FAB,PSCI,1
823,FAB,PSET,1
824,FAB,PTNQ,1
825,FAB,QCLR,1
826,FAB,QMOM,1
827,FAB,QQMG,1
828,FAB,QQQ,1
829,FAB,QQQM,1
830,FAB,QTEC,1
831,FAB,QTR,1
832,FAB,QYLD,1
833,FAB,QYLG,1
834,FAB,RFEM,1
835,FAB,SDVY,1
836,FAB,SIXG,1
837,FAB,SKYY,1
838,FAB,SOXX,1
819,FAB,PPH,1
818,FAB,PNQI,1
817,FAB,PHO,1
816,FAB,PDP,1
796,EWJV,XOVR,1
797,FAB,FAD,1
798,FAB,FEMS,1
799,FAB,FNX,1
800,FAB,FNY,1
801,FAB,FTCS,1
802,FAB,FTHI,1
803,FAB,FTQI,1
804,FAB,FTXL,1
840,FAB,SUSL,1
805,FAB,FV,1
807,FAB,HLAL,1
808,FAB,INDY,1
809,FAB,IUSG,1
810,FAB,IUSV,1
811,FAB,JSMD,1
812,FAB,KRMA,1
813,FAB,MILN,1
814,FAB,NFTY,1
815,FAB,ONEQ,1
806,FAB,GFGF,1
933,FEX,IMCV,1
926,FEX,FNY,1
935,FEX,KBWP,1
1032,FNX,PPI,1
1033,FNX,PRN,1
1034,FNX,PSC,1
1035,FNX,PSCI,1
1036,FNX,PSET,1
1037,FNX,PTF,1
1038,FNX,QCLR,1
1039,FNX,QQMG,1
1031,FNX,PPH,1
1040,FNX,QQQ,1
1042,FNX,QTR,1
1043,FNX,QYLD,1
1044,FNX,QYLG,1
1045,FNX,SHRY,1
1046,FNX,SPBC,1
1047,FNX,SUSL,1
1048,FNX,TDIV,1
1049,FNX,UEVM,1
1041,FNX,QQQM,1
1050,FNX,USMC,1
1030,FNX,PNQI,1
1028,FNX,ONEQ,1
1010,FNK,TDIV,1
1011,FNK,USXF,1
1012,FNK,VONG,1
1013,FNK,XOVR,1
934,FEX,IUSG,1
1015,FNX,FTCS,1
1016,FNX,FTHI,1
1017,FNX,FTQI,1
1029,FNX,PDP,1
1018,FNX,FV,1
1020,FNX,HLAL,1
1021,FNX,IUS,1
1022,FNX,IUSG,1
1023,FNX,IUSV,1
1024,FNX,KBWP,1
1025,FNX,KNGZ,1
1026,FNX,KRMA,1
1027,FNX,NFTY,1
1019,FNX,GFGF,1
1051,FNX,USVM,1
1052,FNX,USXF,1
1053,FNX,VONE,1
1077,FNY,OPPJ,1
1078,FNY,PDP,1
1079,FNY,PEY,1
1080,FNY,PKW,1
1081,FNY,PPI,1
1082,FNY,PRN,1
1083,FNY,PSC,1
1084,FNY,PSET,1
1076,FNY,ONEQ,1
1085,FNY,PTF,1
1087,FNY,QCLR,1
1088,FNY,QMOM,1
1089,FNY,QQMG,1
1090,FNY,QQQ,1
1091,FNY,QQQM,1
1092,FNY,QTR,1
1093,FNY,QYLD,1
1094,FNY,QYLG,1
1086,FNY,PY,1
1075,FNY,NZAC,1
1074,FNY,NFTY,1
1073,FNY,MDIV,1
1054,FNX,VONG,1
1055,FNX,VOTE,1
1056,FNX,VSDA,1
1057,FNX,VSMV,1
1058,FNX,VTHR,1
1059,FNX,XOVR,1
1060,FNY,FTA,1
1061,FNY,FTC,1
1062,FNY,FTHI,1
1063,FNY,FTQI,1
1064,FNY,GFGF,1
1065,FNY,HLAL,1
1066,FNY,IMCV,1
1067,FNY,IUSG,1
1068,FNY,IUSV,1
1069,FNY,KBWP,1
1070,FNY,KNGZ,1
1071,FNY,KRMA,1
1072,FNY,LEXI,1
1009,FNK,SUSL,1
1008,FNK,SPBC,1
1014,FNX,FTA,1
1006,FNK,SDVY,1
959,FJP,IVAL,1
960,FJP,QQEW,1
961,FJP,QQQE,1
962,FJP,RFDI,1
963,FJP,RNEM,1
964,FKU,FPA,1
965,FKU,IPKW,1
966,FKU,KBWP,1
967,FKU,PID,1
968,FKU,PIZ,1
969,FKU,RFEM,1
1007,FNK,SOXX,1
971,FKU,UIVM,1
972,FKU,VYMI,1
973,FLN,FSZ,1
974,FLN,QTEC,1
975,FNK,FNY,1
976,FNK,FTHI,1
977,FNK,FTQI,1
958,FID,PIZ,1
978,FNK,FTXL,1
957,FICS,VYMI,1
955,FICS,UIVM,1
936,FEX,MDIV,1
937,FEX,MILN,1
938,FEX,PDP,1
939,FEX,PNQI,1
940,FEX,PRN,1
941,FEX,PSC,1
942,FEX,PTF,1
943,FEX,QCLR,1
944,FEX,RTH,1
945,FEX,SIXG,1
946,FEX,SPBC,1
947,FEX,USVM,1
948,FEX,USXF,1
949,FEX,VONG,1
950,FEX,VSMV,1
951,FEX,XOVR,1
952,FICS,IXUS,1
953,FICS,KBWP,1
954,FICS,PID,1
956,FICS,VXUS,1
979,FNK,FV,1
970,FKU,UEVM,1
981,FNK,HLAL,1
1005,FNK,QYLG,1
1004,FNK,QYLD,1
1003,FNK,QTR,1
1002,FNK,QTEC,1
1001,FNK,QQQM,1
1000,FNK,QQQE,1
999,FNK,QQQ,1
998,FNK,QQMG,1
980,FNK,GFGF,1
997,FNK,QQEW,1
996,FNK,QCLR,1
995,FNK,PTNQ,1
994,FNK,PTF,1
2900,XOVR,YLDE,1
992,FNK,PSCI,1
982,FNK,INDY,1
983,FNK,IUSV,1
984,FNK,KRMA,1
985,FNK,NFTY,1
993,FNK,PSET,1
987,FNK,PDP,1
988,FNK,PHO,1
986,FNK,ONEQ,1
991,FNK,PRN,1
990,FNK,PPH,1
989,FNK,PNQI,1
1731,HEAL,RNRG,2
181,BIB,HYDR,2
182,BIB,ICLN,2
183,BIB,KROP,2
184,BIB,QCLN,2
185,BIB,RNRG,2
186,BIB,SQQQ,2
199,BLCN,SQQQ,2
180,BIB,HEAL,2
1717,GNOM,RNRG,2
1716,GNOM,QCLN,2
1715,GNOM,ICLN,2
1714,GNOM,HYDR,2
2777,RNRG,SQQQ,2
2649,QCLN,SQQQ,2
187,BIB,TLT,2
179,BIB,GXDW,2
178,BIB,GNOM,2
177,BIB,CTEC,2
1730,HEAL,KROP,2
1729,GXDW,TLT,2
1728,GXDW,SQQQ,2
1727,GXDW,RNRG,2
1726,GXDW,QCLN,2
1725,GXDW,KROP,2
2070,KROP,SQQQ,2
2556,PSCH,SQQQ,2
1783,HYDR,ICLN,2
1784,HYDR,SQQQ,2
1785,ICLN,SQQQ,2
1723,GXDW,HYDR,2
341,CTEC,SQQQ,2
2557,PSCH,TLT,2
1732,HEAL,SQQQ,2
1718,GNOM,SQQQ,2
176,BIB,BLCN,2
2555,PSCH,RNRG,2
1724,GXDW,ICLN,2
