,base asset,compare asset,label
2024,KBWP,VSMV,1
2025,KBWP,VTHR,1
2026,KBWP,VXUS,1
2027,KBWP,WCBR,1
2028,KBWP,XOVR,1
2029,KBWP,YLDE,1
2010,KBWP,SHRY,1
2009,KBWP,RTH,1
2008,KBWP,RFEM,1
2007,KBWP,RFDI,1
1987,KBWP,LEXI,1
1988,KBWP,MDIV,1
1989,KBWP,MILN,1
1990,KBWP,NXTG,1
1991,KBWP,NZAC,1
1992,KBWP,ONEQ,1
1993,KBWP,PDP,1
1994,KBWP,PFM,1
1995,KBWP,PIZ,1
2030,KNGZ,KRMA,1
1996,KBWP,PKW,1
1998,KBWP,PSC,1
1999,KBWP,PSL,1
2000,KBWP,PTF,1
2001,KBWP,QCLR,1
2002,KBWP,QQEW,1
2003,KBWP,QQQE,1
2004,KBWP,QQXT,1
2005,KBWP,QTUM,1
2006,KBWP,RDVY,1
1997,KBWP,PNQI,1
2031,KNGZ,MDIV,1
2032,KNGZ,MILN,1
2033,KNGZ,PDP,1
2058,KRMA,RDVY,1
2059,KRMA,SDVY,1
2060,KRMA,SPBC,1
2061,KRMA,SUSL,1
2062,KRMA,TDIV,1
2063,KRMA,UEVM,1
2064,KRMA,USMC,1
2065,KRMA,USVM,1
2066,KRMA,USXF,1
2057,KRMA,QVAL,1
2067,KRMA,VONG,1
2069,KRMA,VSMV,1
2071,LEGR,PID,1
2072,LEGR,PIZ,1
2073,LEGR,PSL,1
2074,LEGR,QTUM,1
2075,LEGR,VYMI,1
2076,LEXI,MDIV,1
2077,LEXI,MILN,1
2078,LEXI,PFM,1
2068,KRMA,VSDA,1
1826,INDY,SDVY,1
2056,KRMA,QCLR,1
2054,KRMA,PSC,1
2034,KNGZ,PFI,1
2035,KNGZ,PNQI,1
2036,KNGZ,PRN,1
2037,KNGZ,PSC,1
2038,KNGZ,PTF,1
2039,KNGZ,PY,1
2040,KNGZ,QCLR,1
2041,KNGZ,QMOM,1
2042,KNGZ,RFEM,1
2055,KRMA,PTF,1
2043,KNGZ,SIXG,1
2045,KNGZ,UEVM,1
2046,KNGZ,ULVM,1
2047,KNGZ,USVM,1
2048,KNGZ,USXF,1
2049,KNGZ,XOVR,1
2050,KRMA,OPPJ,1
2051,KRMA,PDP,1
2052,KRMA,PPI,1
2053,KRMA,PRN,1
2044,KNGZ,SUSL,1
1825,INDY,QVAL,1
1815,IMCV,VONG,1
1823,INDY,QQQE,1
1562,FTXN,FV,1
1563,FTXN,GFGF,1
1564,FTXN,GRID,1
1565,FTXN,HERD,1
1566,FTXN,HLAL,1
1567,FTXN,IMCV,1
1568,FTXN,INDY,1
1569,FTXN,IPKW,1
1561,FTXL,SOXX,1
1570,FTXN,ISHP,1
1572,FTXN,IUSG,1
1573,FTXN,IUSV,1
1574,FTXN,IVAL,1
1575,FTXN,IXUS,1
1576,FTXN,JSMD,1
1577,FTXN,KBWP,1
1578,FTXN,KNGZ,1
1579,FTXN,KRMA,1
1571,FTXN,IUS,1
1560,FTXL,QVAL,1
1559,FTXL,PPI,1
1558,FTXL,PPH,1
1539,FTRI,ULVM,1
1540,FTRI,USMC,1
1541,FTRI,USVM,1
1542,FTRI,USXF,1
1543,FTRI,VIGI,1
1544,FTRI,VONE,1
1545,FTRI,VONG,1
1546,FTRI,VONV,1
1547,FTRI,VOTE,1
1548,FTRI,VSDA,1
1549,FTRI,VSMV,1
1550,FTRI,VTHR,1
1551,FTRI,VXUS,1
1552,FTRI,VYMI,1
1553,FTRI,WCBR,1
1554,FTRI,XOVR,1
1555,FTRI,YLDE,1
1556,FTXL,INDY,1
1557,FTXL,NFTY,1
