Date,Open,Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-03-08,246.87202366705165,248.24684143066406,-0.002000096922347372,1.0169992897120324,251.66888809204102,250.1243431454613,1,1.0,0,0.0,-0.002002099787258326,0.04318398248377153,0.044129978806910275,0.0,0.025241372738363584,0.0255626335129977
2019-03-11,248.97046294685083,251.84674072265625,0.014501289407130802,2.0662133564595138,251.74576314290366,250.48183259509858,1,1.0,0,0.0,0.014397151260875209,0.05758113374464674,0.059271209808250624,0.0,0.025241372738363584,0.0255626335129977
2019-03-12,252.4075380731377,252.7964630126953,0.003771032681677333,0.10348135618843912,251.7721405029297,250.8703344435919,0,1.0,1,0.0,0.0037639401630883387,0.06134507390773508,0.06326575615919738,0.0,0.025241372738363584,0.0255626335129977
2019-03-13,253.69198332794116,254.46983337402344,0.006619437397920036,0.8813592420466421,251.9093271891276,251.3320595877511,0,1.0,1,1.0,0.006597625125923123,0.06794269903365821,0.07030397726944537,0.003167894891143301,0.028409267629506886,0.028816659625269025
2019-03-14,254.49692718143874,254.30699157714844,-0.0006399257417505355,0.05824025538171895,252.04801177978516,251.63614109584265,0,1.0,1,1.0,-0.0006401305816208788,0.06730256845203733,0.06961906220289271,0.0014404929290312471,0.029849760558538132,0.030299730668954528
2019-03-15,254.86379237542496,255.5633087158203,0.004940159650666631,0.7079388305543262,252.30043665568033,251.9617171514602,0,1.0,1,1.0,0.004927997102153339,0.07223056555419068,0.07490315113557133,0.0035939598657749564,0.03344372042431309,0.03400924848693099
2019-03-18,255.78141057023888,256.4900207519531,0.0036261544772973053,0.23554179537913456,252.6692886352539,252.3576958065941,0,1.0,1,1.0,0.0036195958294822734,0.07585016138367295,0.0788009160097225,0.00693729783263671,0.0403810182569498,0.041207417658788215
2019-03-19,257.56201153391015,256.5535888671875,0.00024783855156629286,1.6799872729427534,252.91228230794272,252.62792096819197,1,1.0,0,1.0,0.000247807844665936,0.07609796922833889,0.07906828446617475,-0.004773098133378231,0.03560792012357157,0.036249474265124704
2019-03-20,256.3355720638432,255.78138732910156,-0.0030099034727816276,1.888946807221373,253.16780598958334,252.8406982421875,1,1.0,0,0.0,-0.0030144423422334265,0.07308352688610546,0.07582039308939148,-0.0,0.03560792012357157,0.036249474265124704
2019-03-21,254.95468607257527,258.67034912109375,0.01129465213305414,3.1699009917283547,253.6927235921224,253.16692097981772,1,1.0,0,0.0,0.011231343800717268,0.08431487068682272,0.08797141018698174,0.0,0.03560792012357157,0.036249474265124704
2019-03-22,257.29860685837116,253.69195556640625,-0.019246092842117424,3.19715522287035,253.9301528930664,253.29871695382255,1,1.0,0,0.0,-0.01943371005347451,0.06488116063334821,0.0670322114169537,-0.0,0.03560792012357157,0.036249474265124704
2019-03-25,253.34667604480862,253.50112915039062,-0.0007521973473284538,1.3166025123355212,254.32655080159506,253.34734526134673,1,1.0,0,0.0,-0.0007524803896978312,0.06412868024365038,0.06622959261801187,0.0,0.03560792012357157,0.036249474265124704
2019-03-26,255.27265601612245,255.39076232910156,0.0074541410724442425,1.3802026248546042,254.9218775431315,253.46959141322546,1,1.0,0,0.0,0.007426496256785014,0.0715551765004354,0.0741774184170012,0.0,0.03560792012357157,0.036249474265124704
2019-03-27,255.3816956733835,254.05532836914062,-0.0052289830210854316,2.479478886668062,255.10592651367188,253.53685578845796,1,1.0,0,0.0,-0.005242701997898352,0.06631247450253705,0.06856056293446544,-0.0,0.03560792012357157,0.036249474265124704
2019-03-28,254.6912267508691,255.0182647705078,0.0037902625681915936,0.944124029427428,255.29107666015625,253.65514410109748,0,1.0,1,0.0,0.003783097622001647,0.0700955721245387,0.07261068803800153,0.0,0.03560792012357157,0.036249474265124704
2019-03-29,256.54452223437056,256.62628173828125,0.006305497252208525,0.5443923924536875,255.47078069051108,253.87240527925036,0,1.0,1,1.0,0.006285700778568833,0.07638127290310753,0.07937403178411473,0.0081471006879273,0.043755020811498874,0.04472638731378975
2019-04-01,258.6431535602241,259.6697082519531,0.011859371896973947,0.5989267880572697,255.91767374674478,254.15964544387091,0,1.0,1,1.0,0.011789600633245707,0.08817087353635324,0.0921747298429787,0.004695643520771167,0.04845066433227004,0.049643585675705815
2019-04-02,259.8605054970094,259.7969055175781,0.0004898425252650718,0.03567603820164322,256.2704734802246,254.4968741280692,0,1.0,1,1.0,0.0004897225915794407,0.08866059612793267,0.09270972347067574,0.004464748825428042,0.052915413157698085,0.054340458017326565
2019-04-03,261.02331126994494,260.2056884765625,0.0015734712396591188,0.8260454939928081,256.5801124572754,254.86993844168526,0,1.0,1,1.0,0.0015722346307971407,0.09023283075872982,0.09442907079385265,-0.0018808585637250055,0.05103455459397308,0.05235925650176432
2019-04-04,260.53282475209136,260.8962097167969,0.0026537515158764347,0.317273962619538,256.9419975280762,255.34867204938615,0,1.0,1,1.0,0.002650236534540519,0.09288306729327034,0.09733341359949099,0.003966961867988422,0.055001516461961504,0.056542216880361984
